sessionId,hour,day,week,month,year,weekday
38,0,1,1,1,1970,Thursday
139,0,1,1,1,1970,Thursday
139,0,1,1,1,1970,Thursday
139,0,1,1,1,1970,Thursday
139,0,1,1,1,1970,Thursday
139,0,1,1,1,1970,Thursday
139,0,1,1,1,1970,Thursday
139,0,1,1,1,1970,Thursday
139,0,1,1,1,1970,Thursday
139,0,1,1,1,1970,Thursday
9,0,1,1,1,1970,Thursday
169,0,1,1,1,1970,Thursday
169,0,1,1,1,1970,Thursday
169,0,1,1,1,1970,Thursday
100,0,1,1,1,1970,Thursday
184,0,1,1,1,1970,Thursday
82,0,1,1,1,1970,Thursday
82,0,1,1,1,1970,Thursday
82,0,1,1,1,1970,Thursday
153,0,1,1,1,1970,Thursday
47,0,1,1,1,1970,Thursday
170,0,1,1,1,1970,Thursday
170,0,1,1,1,1970,Thursday
118,0,1,1,1,1970,Thursday
187,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
88,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
88,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
165,0,1,1,1,1970,Thursday
165,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
157,0,1,1,1,1970,Thursday
157,0,1,1,1,1970,Thursday
165,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
87,0,1,1,1,1970,Thursday
157,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
165,0,1,1,1,1970,Thursday
157,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
157,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
157,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
157,0,1,1,1,1970,Thursday
157,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
157,0,1,1,1,1970,Thursday
157,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
157,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
179,0,1,1,1,1970,Thursday
157,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
157,0,1,1,1,1970,Thursday
179,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
157,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
157,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
157,0,1,1,1,1970,Thursday
189,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
174,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
174,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
174,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
172,0,1,1,1,1970,Thursday
194,0,1,1,1,1970,Thursday
194,0,1,1,1,1970,Thursday
194,0,1,1,1,1970,Thursday
194,0,1,1,1,1970,Thursday
197,0,1,1,1,1970,Thursday
183,0,1,1,1,1970,Thursday
183,0,1,1,1,1970,Thursday
183,0,1,1,1,1970,Thursday
183,0,1,1,1,1970,Thursday
183,0,1,1,1,1970,Thursday
183,0,1,1,1,1970,Thursday
60,0,1,1,1,1970,Thursday
60,0,1,1,1,1970,Thursday
201,0,1,1,1,1970,Thursday
201,0,1,1,1,1970,Thursday
201,0,1,1,1,1970,Thursday
201,0,1,1,1,1970,Thursday
193,0,1,1,1,1970,Thursday
193,0,1,1,1,1970,Thursday
193,0,1,1,1,1970,Thursday
193,0,1,1,1,1970,Thursday
193,0,1,1,1,1970,Thursday
193,0,1,1,1,1970,Thursday
167,0,1,1,1,1970,Thursday
167,0,1,1,1,1970,Thursday
167,0,1,1,1,1970,Thursday
167,0,1,1,1,1970,Thursday
167,0,1,1,1,1970,Thursday
205,0,1,1,1,1970,Thursday
205,0,1,1,1,1970,Thursday
167,0,1,1,1,1970,Thursday
156,0,1,1,1,1970,Thursday
167,0,1,1,1,1970,Thursday
156,0,1,1,1,1970,Thursday
167,0,1,1,1,1970,Thursday
167,0,1,1,1,1970,Thursday
167,0,1,1,1,1970,Thursday
167,0,1,1,1,1970,Thursday
167,0,1,1,1,1970,Thursday
167,0,1,1,1,1970,Thursday
182,0,1,1,1,1970,Thursday
182,0,1,1,1,1970,Thursday
11,0,1,1,1,1970,Thursday
182,0,1,1,1,1970,Thursday
182,0,1,1,1,1970,Thursday
207,0,1,1,1,1970,Thursday
207,0,1,1,1,1970,Thursday
207,0,1,1,1,1970,Thursday
70,0,1,1,1,1970,Thursday
70,0,1,1,1,1970,Thursday
70,0,1,1,1,1970,Thursday
70,0,1,1,1,1970,Thursday
53,0,1,1,1,1970,Thursday
112,0,1,1,1,1970,Thursday
112,0,1,1,1,1970,Thursday
112,0,1,1,1,1970,Thursday
52,0,1,1,1,1970,Thursday
52,0,1,1,1,1970,Thursday
52,0,1,1,1,1970,Thursday
52,0,1,1,1,1970,Thursday
52,0,1,1,1,1970,Thursday
52,0,1,1,1,1970,Thursday
18,0,1,1,1,1970,Thursday
158,0,1,1,1,1970,Thursday
168,0,1,1,1,1970,Thursday
185,0,1,1,1,1970,Thursday
152,0,1,1,1,1970,Thursday
152,0,1,1,1,1970,Thursday
152,0,1,1,1,1970,Thursday
152,0,1,1,1,1970,Thursday
152,0,1,1,1,1970,Thursday
152,0,1,1,1,1970,Thursday
152,0,1,1,1,1970,Thursday
152,0,1,1,1,1970,Thursday
152,0,1,1,1,1970,Thursday
152,0,1,1,1,1970,Thursday
152,0,1,1,1,1970,Thursday
152,0,1,1,1,1970,Thursday
152,0,1,1,1,1970,Thursday
210,0,1,1,1,1970,Thursday
152,0,1,1,1,1970,Thursday
152,0,1,1,1,1970,Thursday
152,0,1,1,1,1970,Thursday
210,0,1,1,1,1970,Thursday
152,0,1,1,1,1970,Thursday
199,0,1,1,1,1970,Thursday
152,0,1,1,1,1970,Thursday
152,0,1,1,1,1970,Thursday
199,0,1,1,1,1970,Thursday
199,0,1,1,1,1970,Thursday
152,0,1,1,1,1970,Thursday
199,0,1,1,1,1970,Thursday
152,0,1,1,1,1970,Thursday
152,0,1,1,1,1970,Thursday
199,0,1,1,1,1970,Thursday
152,0,1,1,1,1970,Thursday
199,0,1,1,1,1970,Thursday
152,0,1,1,1,1970,Thursday
199,0,1,1,1,1970,Thursday
152,0,1,1,1,1970,Thursday
199,0,1,1,1,1970,Thursday
152,0,1,1,1,1970,Thursday
199,0,1,1,1,1970,Thursday
152,0,1,1,1,1970,Thursday
199,0,1,1,1,1970,Thursday
152,0,1,1,1,1970,Thursday
199,0,1,1,1,1970,Thursday
152,0,1,1,1,1970,Thursday
199,0,1,1,1,1970,Thursday
152,0,1,1,1,1970,Thursday
152,0,1,1,1,1970,Thursday
199,0,1,1,1,1970,Thursday
199,0,1,1,1,1970,Thursday
152,0,1,1,1,1970,Thursday
199,0,1,1,1,1970,Thursday
152,0,1,1,1,1970,Thursday
199,0,1,1,1,1970,Thursday
199,0,1,1,1,1970,Thursday
